Sample	Family.ID	SubPopulation	Population.Description	Gender	Population
HG01809	HG01809	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01810	HG01810	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG01811	HG01811	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG01812	HG01812	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02151	HG02151	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01813	HG01813	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01815	HG01815	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02367	HG02367	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02371	CDX2	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02372	CDX2	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02375	HG02375	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02186	HG02186	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02187	HG02187	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02380	HG02380	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02381	HG02381	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02382	HG02382	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02383	HG02383	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02384	HG02384	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02385	HG02385	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02386	HG02386	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02181	HG02181	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02182	HG02182	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02184	HG02184	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02185	HG02185	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02390	HG02390	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02391	HG02391	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02188	HG02188	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01031	HG01031	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02189	HG02189	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02399	HG02399	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02398	HG02398	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02397	HG02397	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02396	HG02396	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG01801	HG01801	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01802	HG01802	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01804	HG01804	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01805	HG01805	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02355	HG02355	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02356	HG02356	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02351	HG02351	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02353	HG02353	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02389	HG02389	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02363	HG02363	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02358	HG02358	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02360	HG02360	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02394	HG02394	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02395	HG02395	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02364	HG02364	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02388	HG02388	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG01046	HG01046	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02392	HG02392	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02190	HG02190	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02387	HG02387	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
NA06984	1328	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA06985	1341	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA06986	13291	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA06989	1328	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA06991	1341	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA06993	1341	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA06994	1340	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA06995	13291	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA06997	13291	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07000	1340	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07014	13292	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07019	1340	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07022	1340	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA07029	1340	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA07031	13292	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07034	1341	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA07037	13291	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07045	13291	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07048	1341	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA07051	13292	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA07055	1341	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07056	1340	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07340	1331	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07345	1345	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07346	1345	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07347	1345	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA07348	1345	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA07349	1345	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA07357	1345	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA07435	13291	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10830	1408	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10831	1408	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10835	1416	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10836	1418	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10837	1418	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10838	1420	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10839	1420	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10840	1421	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10842	1423	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10843	1423	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10845	1424	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10846	1334	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10847	1334	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10850	1344	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10851	1344	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10852	1346	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10853	1349	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10854	1349	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10855	1350	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10856	1350	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10857	1346	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10859	1347	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10860	1362	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA10861	1362	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10863	1375	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10864	1377	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA10865	1377	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11829	1350	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11830	1350	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11831	1350	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11832	1350	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11839	1349	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11840	1349	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11843	1349	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11881	1347	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11882	1347	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11891	1377	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11892	1377	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11893	1377	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11894	1377	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11917	1423	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11918	1423	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11919	1423	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11920	1423	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11930	1424	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11931	1424	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11932	1424a	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11933	1424a	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11992	1362	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11993	1362	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA11994	1362	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA11995	1362	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12003	1420	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12004	1420	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12005	1420	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12006	1420	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12043	1346	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12044	1346	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12045	1346	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12046	1346	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12056	1344	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12057	1344	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12058	1344	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12144	1334	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12145	1334	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12146	1334	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12154	1408	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12155	1408	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12156	1408	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12234	1375	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12239	1334	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12248	1416	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12249	1416	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12264	1375	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12272	1418	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12273	1418	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12274	1418	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12275	1418	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12282	1421a	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12283	1421a	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12286	1421	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12287	1421	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12329	1328	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12335	1330	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12336	1330	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12340	1330	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12341	1330	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12342	1330	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12343	1330	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12344	13281	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12347	13281	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12348	13281	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12375	1353	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12376	1353	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12383	1353	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12386	1354	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12399	1354	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12400	1354	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12413	1355	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12414	1355	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12485	1355	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12489	1353	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12546	1353	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12707	1358	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12708	1358	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12716	1358	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12717	1358	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12718	1358	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12739	1444	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12740	1444	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12748	1444	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12749	1444	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12750	1444	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12751	1444	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12752	1447	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12753	1447	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12760	1447	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12761	1447	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12762	1447	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12763	1447	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12766	1451	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12767	1451	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12775	1451	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12776	1451	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12777	1451	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12778	1451	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12801	1454	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12802	1454	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12812	1454	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12813	1454	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12814	1454	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12815	1454	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12817	1456	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12818	1456	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12827	1456	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12828	1456	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12829	1456	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12830	1456	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12832	1458	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12842	1458	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12843	1458	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12864	1459	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12865	1459	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12872	1459	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12873	1459	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12874	1459	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12875	1459	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12877	1463	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12878	1463	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12889	1463	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12890	1463	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA12891	1463	CEU	Utah residents with Northern and Western European ancestry	male	EUR
NA12892	1463	CEU	Utah residents with Northern and Western European ancestry	female	EUR
NA18565	NA18565	CHB	Han Chinese in Bejing, China	female	EAS
NA18566	NA18566	CHB	Han Chinese in Bejing, China	female	EAS
NA18567	NA18567	CHB	Han Chinese in Bejing, China	female	EAS
NA18553	NA18553	CHB	Han Chinese in Bejing, China	female	EAS
NA18555	NA18555	CHB	Han Chinese in Bejing, China	female	EAS
NA18557	NA18557	CHB	Han Chinese in Bejing, China	male	EAS
NA18564	NA18564	CHB	Han Chinese in Bejing, China	female	EAS
NA18574	NA18574	CHB	Han Chinese in Bejing, China	female	EAS
NA18576	NA18576	CHB	Han Chinese in Bejing, China	female	EAS
NA18577	NA18577	CHB	Han Chinese in Bejing, China	female	EAS
NA18579	NA18579	CHB	Han Chinese in Bejing, China	female	EAS
NA18582	NA18582	CHB	Han Chinese in Bejing, China	female	EAS
NA18591	NA18591	CHB	Han Chinese in Bejing, China	female	EAS
NA18592	NA18592	CHB	Han Chinese in Bejing, China	female	EAS
NA18593	NA18593	CHB	Han Chinese in Bejing, China	female	EAS
NA18595	NA18595	CHB	Han Chinese in Bejing, China	female	EAS
NA18596	NA18596	CHB	Han Chinese in Bejing, China	female	EAS
NA18597	NA18597	CHB	Han Chinese in Bejing, China	female	EAS
NA18599	NA18599	CHB	Han Chinese in Bejing, China	female	EAS
NA18602	NA18602	CHB	Han Chinese in Bejing, China	female	EAS
NA18603	NA18603	CHB	Han Chinese in Bejing, China	male	EAS
NA18605	NA18605	CHB	Han Chinese in Bejing, China	male	EAS
NA18606	NA18606	CHB	Han Chinese in Bejing, China	male	EAS
NA18608	NA18608	CHB	Han Chinese in Bejing, China	male	EAS
NA18609	NA18609	CHB	Han Chinese in Bejing, China	male	EAS
NA18610	NA18610	CHB	Han Chinese in Bejing, China	female	EAS
NA18611	NA18611	CHB	Han Chinese in Bejing, China	male	EAS
NA18612	NA18612	CHB	Han Chinese in Bejing, China	male	EAS
NA18613	NA18613	CHB	Han Chinese in Bejing, China	male	EAS
NA18614	NA18614	CHB	Han Chinese in Bejing, China	female	EAS
NA18615	NA18615	CHB	Han Chinese in Bejing, China	female	EAS
NA18616	NA18616	CHB	Han Chinese in Bejing, China	female	EAS
NA18617	NA18617	CHB	Han Chinese in Bejing, China	female	EAS
NA18558	NA18558	CHB	Han Chinese in Bejing, China	male	EAS
NA18559	NA18559	CHB	Han Chinese in Bejing, China	male	EAS
NA18560	NA18560	CHB	Han Chinese in Bejing, China	female	EAS
NA18561	NA18561	CHB	Han Chinese in Bejing, China	male	EAS
NA18562	NA18562	CHB	Han Chinese in Bejing, China	male	EAS
NA18563	NA18563	CHB	Han Chinese in Bejing, China	male	EAS
NA18624	NA18624	CHB	Han Chinese in Bejing, China	male	EAS
NA18625	NA18625	CHB	Han Chinese in Bejing, China	female	EAS
NA18626	NA18626	CHB	Han Chinese in Bejing, China	female	EAS
NA18627	NA18627	CHB	Han Chinese in Bejing, China	female	EAS
NA18570	NA18570	CHB	Han Chinese in Bejing, China	female	EAS
NA18571	NA18571	CHB	Han Chinese in Bejing, China	female	EAS
NA18572	NA18572	CHB	Han Chinese in Bejing, China	male	EAS
NA18573	NA18573	CHB	Han Chinese in Bejing, China	female	EAS
NA18632	NA18632	CHB	Han Chinese in Bejing, China	male	EAS
NA18633	NA18633	CHB	Han Chinese in Bejing, China	male	EAS
NA18634	NA18634	CHB	Han Chinese in Bejing, China	female	EAS
NA18635	NA18635	CHB	Han Chinese in Bejing, China	male	EAS
NA18636	NA18636	CHB	Han Chinese in Bejing, China	male	EAS
NA18637	NA18637	CHB	Han Chinese in Bejing, China	male	EAS
NA18638	NA18638	CHB	Han Chinese in Bejing, China	male	EAS
NA18639	NA18639	CHB	Han Chinese in Bejing, China	male	EAS
NA18640	NA18640	CHB	Han Chinese in Bejing, China	female	EAS
NA18641	NA18641	CHB	Han Chinese in Bejing, China	female	EAS
NA18642	NA18642	CHB	Han Chinese in Bejing, China	female	EAS
NA18643	NA18643	CHB	Han Chinese in Bejing, China	male	EAS
NA18644	NA18644	CHB	Han Chinese in Bejing, China	female	EAS
NA18645	NA18645	CHB	Han Chinese in Bejing, China	male	EAS
NA18646	NA18646	CHB	Han Chinese in Bejing, China	female	EAS
NA18647	NA18647	CHB	Han Chinese in Bejing, China	male	EAS
NA18648	NA18648	CHB	Han Chinese in Bejing, China	male	EAS
NA18740	NA18740	CHB	Han Chinese in Bejing, China	male	EAS
NA18745	NA18745	CHB	Han Chinese in Bejing, China	male	EAS
NA18747	NA18747	CHB	Han Chinese in Bejing, China	male	EAS
NA18748	NA18748	CHB	Han Chinese in Bejing, China	male	EAS
NA18749	NA18749	CHB	Han Chinese in Bejing, China	male	EAS
NA18757	NA18757	CHB	Han Chinese in Bejing, China	male	EAS
NA18791	NA18791	CHB	Han Chinese in Bejing, China	male	EAS
NA18794	NA18794	CHB	Han Chinese in Bejing, China	male	EAS
NA18795	NA18795	CHB	Han Chinese in Bejing, China	female	EAS
NA18618	NA18618	CHB	Han Chinese in Bejing, China	female	EAS
NA18619	NA18619	CHB	Han Chinese in Bejing, China	female	EAS
NA18620	NA18620	CHB	Han Chinese in Bejing, China	male	EAS
NA18621	NA18621	CHB	Han Chinese in Bejing, China	male	EAS
NA18622	NA18622	CHB	Han Chinese in Bejing, China	male	EAS
NA18623	NA18623	CHB	Han Chinese in Bejing, China	male	EAS
NA18531	NA18531	CHB	Han Chinese in Bejing, China	female	EAS
NA18532	NA18532	CHB	Han Chinese in Bejing, China	female	EAS
NA18533	NA18533	CHB	Han Chinese in Bejing, China	female	EAS
NA18534	NA18534	CHB	Han Chinese in Bejing, China	male	EAS
NA18628	NA18628	CHB	Han Chinese in Bejing, China	female	EAS
NA18629	NA18629	CHB	Han Chinese in Bejing, China	male	EAS
NA18630	NA18630	CHB	Han Chinese in Bejing, China	female	EAS
NA18631	NA18631	CHB	Han Chinese in Bejing, China	female	EAS
NA18525	NA18525	CHB	Han Chinese in Bejing, China	female	EAS
NA18526	NA18526	CHB	Han Chinese in Bejing, China	female	EAS
NA18527	NA18527	CHB	Han Chinese in Bejing, China	female	EAS
NA18528	NA18528	CHB	Han Chinese in Bejing, China	female	EAS
NA18530	NA18530	CHB	Han Chinese in Bejing, China	male	EAS
NA18545	NA18545	CHB	Han Chinese in Bejing, China	female	EAS
NA18546	NA18546	CHB	Han Chinese in Bejing, China	male	EAS
NA18547	NA18547	CHB	Han Chinese in Bejing, China	female	EAS
NA18548	NA18548	CHB	Han Chinese in Bejing, China	male	EAS
NA18535	NA18535	CHB	Han Chinese in Bejing, China	female	EAS
NA18536	NA18536	CHB	Han Chinese in Bejing, China	male	EAS
NA18537	NA18537	CHB	Han Chinese in Bejing, China	female	EAS
NA18538	NA18538	CHB	Han Chinese in Bejing, China	female	EAS
NA18539	NA18539	CHB	Han Chinese in Bejing, China	female	EAS
NA18541	NA18541	CHB	Han Chinese in Bejing, China	female	EAS
NA18542	NA18542	CHB	Han Chinese in Bejing, China	female	EAS
NA18543	NA18543	CHB	Han Chinese in Bejing, China	male	EAS
NA18544	NA18544	CHB	Han Chinese in Bejing, China	male	EAS
NA18549	NA18549	CHB	Han Chinese in Bejing, China	male	EAS
NA18550	NA18550	CHB	Han Chinese in Bejing, China	female	EAS
NA18552	NA18552	CHB	Han Chinese in Bejing, China	female	EAS
HG00403	SH001	CHS	Southern Han Chinese, China	male	EAS
HG00404	SH001	CHS	Southern Han Chinese, China	female	EAS
HG00405	SH001	CHS	Southern Han Chinese, China	female	EAS
HG00410	SH003	CHS	Southern Han Chinese, China	female	EAS
HG00421	SH007	CHS	Southern Han Chinese, China	male	EAS
HG00422	SH007	CHS	Southern Han Chinese, China	female	EAS
HG00409	SH003	CHS	Southern Han Chinese, China	male	EAS
HG00427	SH009	CHS	Southern Han Chinese, China	male	EAS
HG00428	SH009	CHS	Southern Han Chinese, China	female	EAS
HG00429	SH009	CHS	Southern Han Chinese, China	male	EAS
HG00423	SH007	CHS	Southern Han Chinese, China	female	EAS
HG00437	SH012	CHS	Southern Han Chinese, China	female	EAS
HG00438	SH012	CHS	Southern Han Chinese, China	female	EAS
HG00442	SH014	CHS	Southern Han Chinese, China	male	EAS
HG00436	SH012	CHS	Southern Han Chinese, China	male	EAS
HG00444	SH014	CHS	Southern Han Chinese, China	male	EAS
HG00445	SH015	CHS	Southern Han Chinese, China	male	EAS
HG00446	SH015	CHS	Southern Han Chinese, China	female	EAS
HG00447	SH015	CHS	Southern Han Chinese, China	female	EAS
HG00448	SH016	CHS	Southern Han Chinese, China	male	EAS
HG00449	SH016	CHS	Southern Han Chinese, China	female	EAS
HG00450	SH016	CHS	Southern Han Chinese, China	female	EAS
HG00451	SH017	CHS	Southern Han Chinese, China	male	EAS
HG00452	SH017	CHS	Southern Han Chinese, China	female	EAS
HG00453	SH017	CHS	Southern Han Chinese, China	female	EAS
HG00457	SH019	CHS	Southern Han Chinese, China	male	EAS
HG00458	SH019	CHS	Southern Han Chinese, China	female	EAS
HG00443	SH014	CHS	Southern Han Chinese, China	female	EAS
HG00463	SH021	CHS	Southern Han Chinese, China	male	EAS
HG00464	SH021	CHS	Southern Han Chinese, China	female	EAS
HG00465	SH021	CHS	Southern Han Chinese, China	male	EAS
HG00472	SH024	CHS	Southern Han Chinese, China	male	EAS
HG00473	SH024	CHS	Southern Han Chinese, China	female	EAS
HG00474	SH024	CHS	Southern Han Chinese, China	male	EAS
HG00475	SH025	CHS	Southern Han Chinese, China	male	EAS
HG00406	SH002	CHS	Southern Han Chinese, China	male	EAS
HG00407	SH002	CHS	Southern Han Chinese, China	female	EAS
HG00408	SH002	CHS	Southern Han Chinese, China	female	EAS
HG00479	SH026	CHS	Southern Han Chinese, China	female	EAS
HG00480	SH026	CHS	Southern Han Chinese, China	male	EAS
HG00459	SH019	CHS	Southern Han Chinese, China	male	EAS
HG00418	SH006	CHS	Southern Han Chinese, China	male	EAS
HG00419	SH006	CHS	Southern Han Chinese, China	female	EAS
HG00420	SH006	CHS	Southern Han Chinese, China	male	EAS
HG00513	SH032	CHS	Southern Han Chinese, China	female	EAS
HG00514	SH032	CHS	Southern Han Chinese, China	female	EAS
HG00524	SH036	CHS	Southern Han Chinese, China	male	EAS
HG00525	SH036	CHS	Southern Han Chinese, China	female	EAS
HG00526	SH036	CHS	Southern Han Chinese, China	male	EAS
HG00530	SH038	CHS	Southern Han Chinese, China	male	EAS
HG00531	SH038	CHS	Southern Han Chinese, China	female	EAS
HG00532	SH038	CHS	Southern Han Chinese, China	male	EAS
